"word","freq"
"talk",169
"carolina",168
"south",168
"disaster",167
"focus",166
"life",165
"dollars",164
"interviewed",164
"week",164
"law",163
"…",163
"proud",162
"thing",162
"order",162
"attack",162
"fast",162
"pay",161
"senate",158
"tower",158
"friends",158
"may",157
"hotel",157
"still",156
"yet",156
"man",153
"lot",153
"bush",153
"polls",152
"leaders",152
"scotland",152
"apprenticenbc",152
"governor",151
"mexico",151
"truly",151
"isis",151
"maga",150
"important",150
"told",149
"political",149
"fact",148
"debt",148
"care",147
"family",147
"something",147
"read",147
"problem",146
"winning",146
"end",146
"cuts",146
"worst",145
"oil",145
"without",145
"weak",145
"champion",145
"season",145
"leadership",144
"administration",144
"sure",144
"dishonest",144
"hit",143
"saying",143
"person",142
"fox",142
"since",141
"start",141
"watching",141
"senator",140
"spending",140
"says",139
"fight",139
"report",139
"away",139
"ted",139
"friend",137
"press",137
"ohio",137
"full",136
"talking",136
"little",136
"celebrity",136
"already",135
"iraq",135
"borders",134
"witch",134
"hunt",133
"gave",133
"used",132
"team",132
"stupid",131
"healthcare",131
"ago",130
"nation",129
"collusion",129
"words",128
"countries",128
"tremendous",128
"bring",127
"failed",127
"deals",126
"badly",126
"club",126
"endorsement",125
"running",125
"millions",125
"city",124
"nytimes",124
"realdonaldtrump",124
"ready",123
"energy",123
"stay",122
"economic",122
"home",122
"post",122
"art",122
"birthday",121
"general",121
"happen",121
"trying",121
"everything",121
"jeb",120
"call",119
"market",119
"left",119
"interesting",118
"worse",118
"lead",118
"hampshire",118
"justice",117
"phony",117
"cut",117
"rally",116
"billion",116
"victory",115
"low",115
"find",115
"anyone",115
"biggest",115
"video",115
"unemployment",114
"presidential",114
"problems",114
"court",113
"old",113
"game",113
"continue",113
"including",113
"future",112
"wind",112
"doral",112
"plan",111
"days",111
"build",111
"safe",110
"taking",110
"fair",110
"leader",110
"global",109
"statement",109
"system",109
"can’t",109
"fired",109
"around",109
"100",108
"incredible",108
"needs",108
"greatest",108
"public",108
"anything",106
"virginia",106
"free",106
"released",105
"hear",105
"nuclear",105
"almost",105
"went",105
"successful",105
"fun",105
"heading",104
"dumb",104
"respect",104
"highest",103
"power",102
"given",102
"spent",102
"beat",102
"congrats",102
"sunday",101
"else",101
"warming",101
"paid",100
"enough",100
"melania",100
"war",100
"control",100
"shows",100
"joe",100
"vets",99
"rigged",99
"zero",99
"companies",99
"check",99
"timetogettough",99
"pennsylvania",98
"immediately",97
"point",97
"building",97
"results",97
"killing",97
"rubio",97
"men",96
"move",96
"wonder",96
"primary",96
"chance",96
"despite",95
"fix",95
"looks",95
"less",95
"usa",95
"families",95
"small",95
"comey",95
"nyc",95
"event",95
"budget",95
"west",94
"crazy",94
"play",94
"“donald",94
"international",93
"become",93
"close",93
"david",93
"case",93
"thought",93
"“trump",93
"decision",93
"bernie",93
"highly",92
"evening",92
"convention",92
"thinking",92
"longer",92
"welcome",92
"protect",92
"act",92
"tell",92
"november",92
"supporters",92
"lightweight",92
"race",91
"loves",91
"stock",91
"took",91
"nobody",91
"thoughts",90
"late",90
"ask",90
"leaving",90
"agree",90
"winner",90
"stories",89
"candidate",89
"learn",89
"prices",89
"mike",89
"losing",89
"complete",88
"action",88
"whitehouse",88
"allowed",88
"syria",88
"israel",88
"ivankatrump",87
"name",86
"playing",86
"emails",86
"mitt",86
"set",85
"veterans",85
"release",85
"lives",85
"knows",85
"losers",85
"touch",85
"int",85
"didn’t",84
"seen",84
"politics",84
"came",84
"obama’s",84
"russian",84
"lies",84
"makes",84
"americafirst",84
"easy",83
"terrific",83
"chris",83
"ebola",83
"canada",82
"past",82
"doesn’t",82
"killed",82
"article",82
"yes",82
"stand",81
"texas",81
"reporting",81
"tickets",81
"gas",81
"draintheswamp",81
"reason",80
"pass",80
"conference",80
"started",80
"false",80
"finally",80
"billions",80
"giving",80
"horrible",80
"hell",80
"announced",80
"buy",80
"tuesday",80
"dead",80
"votes",80
"waste",80
"abc",79
"police",79
"fighting",79
"information",79
"foreign",79
"laws",79
"loser",79
"yankees",79
"newsmax",79
"billmaher",79
"politicians",78
"gets",78
"talent",78
"james",78
"beginning",78
"able",78
"romney",78
"charity",78
"negative",77
"months",77
"democrat",77
"’re",77
"rate",77
"along",77
"mess",77
"monday",77
"speak",77
"lose",76
"asked",76
"boring",76
"saturday",76
"meet",76
"wife",76
"everybody",76
"workers",76
"continues",76
"possible",76
"instead",76
"forget",76
"exciting",75
"thousands",75
"growth",75
"service",75
"speaking",75
"stated",75
"gone",75
"honored",75
"create",75
"tune",75
"center",74
"angry",74
"actually",74
"seanhannity",74
"’m",74
"lie",74
"part",74
"television",74
"taken",74
"lots",74
"oreillyfactor",74
"god",73
"please",73
"number",73
"enforcement",73
"ads",73
"allow",73
"cost",73
"using",73
"march",73
"minutes",73
"face",72
"second",72
"mark",72
"absolutely",72
"policy",72
"chinese",72
"mind",72
"asking",72
"visit",72
"repeal",72
"magazine",72
"prayers",71
"prime",71
"records",71
"air",71
"send",71
"mistake",71
"weekend",71
"failure",71
"macys",71
"turbines",71
"dangerous",70
"reform",70
"investigation",70
"sorry",70
"choice",70
"term",70
"trumpdoral",70
"gretawire",70
"trumpvlog",70
"supreme",69
"2nd",69
"minister",69
"fully",69
"etc",69
"perhaps",69
"save",69
"least",69
"based",69
"credit",69
"comes",69
"raise",69
"questions",69
"rod",69
"eric",69
"young",69
"marco",69
"unfair",68
"amendment",68
"level",68
"bigger",68
"final",68
"michigan",68
"pres",68
"joke",68
"california",68
"dnc",68
"try",68
"website",68
"positive",67
"force",67
"children",67
"large",67
"putin",67
"wisconsin",67
"haters",67
"award",67
"miami",67
"midas",67
"higher",66
"word",66
"increase",66
"secretary",66
"signed",66
"knew",66
"interest",66
"dopey",66
"school",65
"happening",65
"starting",65
"laughing",65
"someone",65
"price",65
"arizona",65
"class",65
"truth",65
"private",65
"friday",65
"blue",65
"alabama",65
"pageant",65
"respected",64
"paying",64
"nations",64
"vegas",64
"’ve",64
"middle",64
"watched",64
"george",64
"early",64
"twitter",64
"movement",64
"four",64
"chicago",64
"safety",63
"destroy",63
"maybe",63
"federal",63
"paul",63
"brave",63
"matter",62
"dinner",62
"tariffs",62
"bob",62
"wanted",62
"worth",62
"food",62
"follow",61
"voters",61
"death",61
"ridiculous",61
"street",61
"poor",61
"incompetent",61
"son",61
"line",61
"opportunity",61
"confidence",60
"met",60
"caught",60
"happened",60
"intelligence",60
"chuck",60
"entire",60
"defense",60
"worked",60
"amnesty",60
"beach",60
"named",59
"candidates",59
"tom",59
"las",59
"room",59
"policies",59
"answer",59
"omarosa",59
"deficit",59
"greta",59
"votetrump",59
"imwithyou",59
"dummy",59
"luxury",59
"leading",58
"five",58
"nfl",58
"sanders",58
"freedom",58
"standing",58
"hate",58
"surprise",58
"daca",58
"ties",58
"wins",57
"correct",57
"understand",57
"pence",57
"wish",57
"question",57
"woman",57
"sold",57
"leave",57
"especially",57
"loved",57
"hall",57
"brand",57
"episode",57
"means",56
"hopefully",56
"opec",56
"corrupt",56
"list",56
"’ll",56
"players",56
"voted",56
"head",56
"andrew",56
"michael",56
"strength",56
"dollar",56
"members",56
"trillion",56
"cover",56
"pathetic",56
"defeat",56
"lord",56
"benghazi",56
"kasich",56
"links",56
"seeing",55
"judge",55
"fire",55
"host",55
"built",55
"kind",55
"replace",55
"negotiation",55
"player",55
"message",55
"glad",55
"offers",55
"karlrove",55
"sign",54
"department",54
"radical",54
"jeff",54
"father",54
"fraud",54
"situation",54
"biased",54
"rosie",54
"universe",54
"alexsalmond",54
"page",53
"voting",53
"hits",53
"plans",53
"meetings",53
"heroes",53
"probably",53
"received",53
"won’t",53
"sadly",53
"across",53
"response",53
"monster",53
"views",53
"erictrump",53
"africa",52
"spoke",52
"comments",52
"stronger",52
"former",52
"brought",52
"victims",52
"mayor",52
"passed",52
"ahead",52
"group",52
"focused",52
"terrorist",52
"company",52
"let’s",52
"signature",52
"farmers",51
"steve",51
"lowest",51
"historic",51
"signing",51
"east",51
"discuss",51
"robert",51
"approval",51
"short",51
"talks",51
"offer",51
"college",51
"est",51
"billionaire",51
"piersmorgan",51
"hurricane",50
"rather",50
"relationship",50
"nevada",50
"mueller",50
"committee",50
"turn",50
"idea",50
"easily",50
"trouble",50
"ideas",50
"demand",50
"gun",50
"palm",50
"sugar",50
"‘",50
"trumptowerny",50
"tea",50
"careful",49
"kim",49
"progress",49
"fine",49
"reported",49
"treated",49
"indiana",49
"financial",49
"except",49
"thursday",49
"pushing",49
"needed",49
"gov",49
"ice",49
"breitbartnews",49
"momentum",49
"potential",48
"piece",48
"opening",48
"claims",48
"behind",48
"quickly",48
"available",48
"reagan",48
"super",48
"dropped",48
"whether",48
"fan",48
"lied",48
"marlago",48
"3rd",48
"collection",48
"returns",48
"expected",47
"enemy",47
"three",47
"hoax",47
"sell",47
"carter",47
"goes",47
"hours",47
"rich",47
"heard",47
"experience",47
"reporter",47
"crowds",47
"megynkelly",47
"agenda",46
"greatly",46
"third",46
"month",46
"drug",46
"henry",46
"advice",46
"health",46
"feel",46
"spend",46
"apologize",46
"boston",46
"arrived",46
"threat",46
"enemies",46
"shirts",46
"front",45
"often",45
"egypt",45
"peace",45
"hurt",45
"schumer",45
"don",45
"turned",45
"helping",45
"statements",45
"works",45
"listen",45
"cast",45
"lower",45
"takes",45
"opportunities",45
"reality",45
"announcement",44
"celebrate",44
"summit",44
"afternoon",44
"council",44
"advantage",44
"dossier",44
"dying",44
"rnc",44
"citizens",44
"barack",44
"ivanka",44
"red",44
"anymore",44
"brian",44
"potus",44
"hosting",44
"turnberry",44
"pick",44
"forced",44
"view",44
"wsj",44
"park",44
"christmas",44
"carson",44
"cbs",43
"colorado",43
"georgia",43
"officers",43
"spirit",43
"rest",43
"japan",43
"ford",43
"single",43
"kelly",43
"popular",43
"isn’t",43
"setting",43
"credibility",43
"spectacular",43
"legal",43
"missed",43
"interests",43
"icymi",43
"libya",43
"estate",43
"atlantic",42
"county",42
"key",42
"either",42
"found",42
"sources",42
"manufacturing",42
"union",42
"scott",42
"hold",42
"appreciate",42
"raised",42
"rated",42
"wishes",42
"vision",42
"ireland",42
"agschneiderman",42
"facts",41
"terrorism",41
"corruption",41
"mention",41
"courage",41
"calls",41
"dream",41
"whose",41
"desperate",41
"disgrace",41
"community",41
"nasty",41
"rules",41
"sent",41
"championship",41
"terrorists",41
"graham",41
"squawkcnbc",41
"premiums",41
"university",41
"crookedhillary",41
"trumpchicago",41
"address",40
"rule",40
"pelosi",40
"effort",40
"elected",40
"spy",40
"businesses",40
"played",40
"puerto",40
"rico",40
"write",40
"social",40
"field",40
"remain",40
"conservative",40
"moving",40
"executive",40
"secret",40
"program",40
"water",40
"sending",40
"loss",40
"anthony",40
"broken",40
"jack",40
"fame",40
"passion",40
"jebbush",40
"joan",40
"responders",39
"senators",39
"according",39
"fortune",39
"france",39
"held",39
"review",39
"doubt",39
"500",39
"imagine",39
"died",39
"wait",39
"hour",39
"recent",39
"lying",39
"jon",39
"picture",39
"staff",39
"side",39
"disgusting",39
"poorly",39
"endorsed",39
"serious",39
"created",39
"fans",39
"bringing",39
"attacks",39
"travel",39
"stopped",39
"keystone",39
"terror",39
"afghanistan",39
"tweeting",39
"missuniverse",39
"snowden",39
"later",38
"ocean",38
"congressman",38
"process",38
"though",38
"attorney",38
"excited",38
"agreed",38
"involved",38
"negotiations",38
"unbelievable",38
"king",38
"mexican",38
"russians",38
"anybody",38
"eyes",38
"sick",38
"weeks",38
"strongly",38
"sanctions",38
"destroyed",38
"director",38
"written",38
"drugs",38
"nato",38
"changed",38
"trip",38
"fail",38
"rivers",38
"charlotte",38
"bigleaguetruth",38
"weiner",38
"macy",38
"officials",37
"expensive",37
"liberal",37
"charge",37
"points",37
"concerning",37
"obstruction",37
"peter",37
"firing",37
"decades",37
"san",37
"excuse",37
"illegally",37
"dem",37
"anniversary",37
"cnbc",37
"calling",37
"chief",37
"majority",37
"afraid",37
"clear",37
"tweets",37
"league",37
"drop",37
"simple",37
"schneiderman",37
"rooms",37
"washingtonpost",37
"facebook",37
"muslim",37
"features",37
"derek",37
"ugly",37
"reports",36
"solve",36
"due",36
"sense",36
"soldiers",36
"wealth",36
"pressure",36
"whole",36
"lucky",36
"scandal",36
"games",36
"mccain",36
"cutting",36
"known",36
"currency",36
"knowledge",36
"favor",36
"property",36
"lets",36
"project",36
"succeed",36
"vanityfair",36
"lyin",36
"necessary",35
"barriers",35
"nafta",35
"certain",35
"lawyer",35
"behalf",35
"daily",35
"letter",35
"recovery",35
"strzok",35
"issue",35
"gdp",35
"beyond",35
"scam",35
"concerned",35
"thinks",35
"talented",35
"email",35
"double",35
"rights",35
"heart",35
"photo",35
"goals",35
"coverage",35
"tweet",35
"june",35
"resort",35
"holiday",35
"immigrants",35
"southern",35
"wasting",35
"packed",35
"realize",35
"gives",35
"cpac",35
"bankrupt",35
"melaniatrump",35
"central",35
"hotels",35
"worry",34
"bless",34
"local",34
"outside",34
"whatever",34
"deserve",34
"mistakes",34
"black",34
"board",34
"steel",34
"sometimes",34
"rebuild",34
"guess",34
"cold",34
"flag",34
"solution",34
"matt",34
"notice",34
"favorite",34
"rating",34
"europe",34
"shooting",34
"saw",34
"shot",34
"winners",34
"promised",34
"islamic",34
"predicted",34
"bought",34
"hillaryclinton",34
"donaldjtrumpjr",34
"racist",34
"climate",34
"wwe",34
"events",33
"chairman",33
"fall",33
"waiting",33
"storm",33
"serve",33
"path",33
"todayshow",33
"anthem",33
"among",33
"apple",33
"presidency",33
"ran",33
"flotus",33
"looked",33
"info",33
"germany",33
"step",33
"cia",33
"seem",33
"innocent",33
"bedminster",33
"negotiate",33
"flights",33
"putting",33
"condolences",33
"quit",33
"restaurant",33
"weapons",33
"happens",33
"troops",33
"mother",33
"fitn",33
"mcuban",33
"trumpsoho",33
"boardroom",33
"thegarybusey",33
"funding",32
"hand",32
"hundreds",32
"impact",32
"ronald",32
"reviews",32
"funny",32
"attention",32
"defend",32
"result",32
"huge",32
"secure",32
"patriots",32
"tried",32
"protection",32
"career",32
"risk",32
"destroying",32
"saudi",32
"gift",32
"dog",32
"killer",32
"network",32
"lincoln",32
"return",32
"crisis",32
"clue",32
"gold",32
"enjoyed",32
"warren",32
"oscars",32
"strange",32
"starts",32
"debates",32
"bet",32
"exclusive",32
"ben",32
"13th",32
"gopdebate",32
"trumpnewyork",32
"dannyzuker",32
"prepared",31
"fema",31
"gotten",31
"common",31
"mean",31
"rose",31
"showed",31
"rise",31
"prior",31
"form",31
"hearing",31
"different",31
"reporters",31
"standard",31
"official",31
"refuses",31
"plus",31
"ones",31
"allowing",31
"amazon",31
"cities",31
"largest",31
"seems",31
"ban",31
"loyal",31
"negotiating",31
"garbage",31
"wednesday",31
"elizabeth",31
"voter",31
"politically",31
"trumppence16",31
"dope",31
"politico",31
"rove",31
"forbes",31
"courses",31
"nancy",30
"enthusiasm",30
"agreement",30
"likes",30
"doj",30
"fed",30
"saved",30
"legislation",30
"andy",30
"mccabe",30
"evidence",30
"industry",30
"sessions",30
"memorial",30
"fool",30
"reading",30
"rick",30
"gang",30
"greater",30
"foundation",30
"land",30
"protecting",30
"difference",30
"rapidly",30
"upcoming",30
"mine",30
"insurance",30
"guns",30
"overrated",30
"medicare",30
"weakness",30
"contract",30
"stopping",30
"illegals",30
"blame",30
"louisiana",30
"deliver",30
"costs",30
"awards",30
"speeches",30
"thanksgiving",30
"beauty",30
"construction",30
"establishment",30
"tbt",30
"aberdeen",30
"avenue",30
"albert",30
"einstein",30
"letterman",30
"daughter",29
"trial",29
"lady",29
"april",29
"honest",29
"powerful",29
"consumer",29
"iranian",29
"push",29
"trump’s",29
"coast",29
"trust",29
"proven",29
"apology",29
"refused",29
"clean",29
"sue",29
"arabia",29
"msnbc",29
"constantly",29
"football",29
"cause",29
"dumbest",29
"rid",29
"announce",29
"2018",29
"ashamed",29
"thomas",29
"organization",29
"challenge",29
"goal",29
"editorial",29
"ceiling",29
"vacation",29
"graydon",29
"elite",29
"brotherhood",29
"stage",28
"nomination",28
"strategy",28
"keeping",28
"treat",28
"tennessee",28
"september",28
"approved",28
"liberty",28
"throughout",28
"army",28
"expect",28
"reasons",28
"criminal",28
"faith",28
"responsible",28
"classified",28
"pouring",28
"investment",28
"wrote",28
"judgement",28
"becoming",28
"mitch",28
"performance",28
"coach",28
"stewart",28
"larry",28
"wasted",28
"independent",28
"dallas",28
"decisions",28
"luther",28
"autism",28
"alone",28
"brady",28
"birth",28
"wallace",28
"chucktodd",28
"guest",28
"spa",28
"premiere",28
"folks",27
"handle",27
"bills",27
"america’s",27
"opponent",27
"study",27
"hosted",27
"beating",27
"joint",27
"remarks",27
"site",27
"stuff",27
"island",27
"period",27
"closely",27
"kevin",27
"campaigning",27
"unable",27
"anyway",27
"within",27
"server",27
"vince",27
"landed",27
"coal",27
"increased",27
"sanctuary",27
"european",27
"recently",27
"opinion",27
"ms13",27
"sales",27
"places",27
"instincts",27
"keeps",27
"perfect",27
"1st",27
"followers",27
"fiscal",27
"born",27
"karl",27
"churchill",27
"winston",27
"promise",26
"helped",26
"tuned",26
"hero",26
"marine",26
"disgraceful",26
"properly",26
"unless",26
"congressional",26
"showing",26
"liar",26
"wasn’t",26
"became",26
"jim",26
"ceo",26
"drudge",26
"numerous",26
"unlike",26
"direction",26
"somebody",26
"franklin",26
"ryan",26
"tour",26
"husband",26
"400",26
"july",26
"representatives",26
"passing",26
"democratic",26
"finest",26
"navy",26
"access",26
"gary",26
"light",26
"excellent",26
"silent",26
"january",26
"rising",26
"grand",26
"harder",26
"latest",26
"delegates",26
"green",26
"copies",26
"amspec",26
"requires",26
"kavanaugh",25
"professional",25
"documents",25
"charges",25
"jong",25
"attacking",25
"telling",25
"increases",25
"journal",25
"raising",25
"shame",25
"ability",25
"african",25
"regulations",25
"dan",25
"surprised",25
"hawaii",25
"tougher",25
"gain",25
"enter",25
"magnificent",25
"buying",25
"effective",25
"pays",25
"current",25
"driving",25
"inside",25
"purchase",25
"self",25
"appreciated",25
"usa🇺🇸",25
"goofy",25
"entrepreneur",25
"bankruptcy",25
"spitzer",25
"near",24
"levels",24
"➡️",24
"ceremony",24
"tiger",24
"armed",24
"grow",24
"begins",24
"october",24
"kerry",24
"employees",24
"holding",24
"car",24
"delivered",24
"stars",24
"exist",24
"abuse",24
"simply",24
"crimes",24
"amounts",24
"brings",24
"politician",24
"paris",24
"elections",24
"aren’t",24
"cool",24
"straight",24
"pacific",24
"earth",24
"legendary",24
"designed",24
"pipeline",24
"fear",24
"core",24
"expanding",24
"planning",24
"phoenix",24
"plane",24
"’",24
"online",24
"ally",24
"schedule",24
"kill",24
"finished",24
"penalty",24
"card",24
"pols",24
"irrelevant",24
"traceadkins",24
"ricksantorum",24
"crippled",24
"pervert",24
"lance",24
"forever",23
"importantly",23
"present",23
"lines",23
"vietnam",23
"august",23
"forces",23
"lawyers",23
"jones",23
"sgt",23
"returned",23
"position",23
"original",23
"smarter",23
"seriously",23
"celebrating",23
"six",23
"writer",23
"tragedy",23
"lack",23
"networks",23
"shut",23
"deserves",23
"jail",23
"provide",23
"led",23
"lawsuit",23
"christian",23
"troy",23
"prison",23
"rates",23
"tim",23
"jerry",23
"amount",23
"ineffective",23
"brilliant",23
"begin",23
"creating",23
"guys",23
"example",23
"possibly",23
"wild",23
"arena",23
"accept",23
"—",23
"planned",23
"turning",23
"caused",23
"blew",23
"luxurious",23
"individual",23
"living",23
"deficits",23
"penn",23
"netanyahu",23
"infrastructure",23
"design",23
"song",23
"viewers",23
"banks",23
"7pm",23
"attacked",23
"featuring",23
"roberts",23
"lawrence",23
"jeter",23
"amenities",23
"armstrong",23
"bin",23
"register",22
"protesters",22
"criminals",22
"200",22
"officially",22
"vicious",22
"mississippi",22
"hands",22
"abe",22
"kept",22
"remains",22
"judges",22
"presidents",22
"impossible",22
"ways",22
"supports",22
"farm",22
"larger",22
"hitting",22
"counsel",22
"discredited",22
"prove",22
"shown",22
"violent",22
"source",22
"labor",22
"4th",22
"courts",22
"boss",22
"changing",22
"nbcnews",22
"dirty",22
"800",22
"agent",22
"pastor",22
"represent",22
"phone",22
"approve",22
"nowhere",22
"sector",22
"tampa",22
"accomplished",22
"sounds",22
"moment",22
"meddling",22
"selling",22
"joining",22
"town",22
"taxpayers",22
"noon",22
"5th",22
"series",22
"worried",22
"ultimate",22
"dining",22
"wise",22
"tpp",22
"syrian",22
"achievement",22
"skills",22
"personally",22
"douglas",22
"wear",22
"lobbyists",22
"donors",22
"rock",22
"kids",22
"diamond",22
"sandy",22
"nydailynews",22
"certificate",22
"pennjillette",22
"huffingtonpost",22
"cadillacchamp",22
"freezing",22
"laden",22
"parts",21
"capital",21
"pete",21
"competition",21
"delay",21
"income",21
"con",21
"promises",21
"plenty",21
"fisa",21
"forgotten",21
"timing",21
"continued",21
"admit",21
"apart",21
"virtually",21
"decided",21
"fools",21
"bank",21
"base",21
"toward",21
"product",21
"shutdown",21
"puts",21
"paper",21
"covered",21
"weather",21
"communities",21
"ripping",21
"ground",21
"jimmy",21
"fabulous",21
"pundits",21
"30pm",21
"polling",21
"receive",21
"wayne",21
"education",21
"oprah",21
"defund",21
"healthy",21
"road",21
"arab",21
"per",21
"caucus",21
"conflict",21
"piers",21
"iacaucus",21
"moron",21
"achievers",21
"trumpgolfla",21
"dubai",21
"atrium",21
"sweepstweet",21
"maga🇺🇸",20
"lake",20
"annual",20
"wouldn’t",20
"services",20
"added",20
"committed",20
"obstruct",20
"missouri",20
"therefore",20
"filed",20
"parents",20
"answers",20
"subject",20
"acting",20
"lisa",20
"extraordinary",20
"rebuilding",20
"products",20
"anywhere",20
"speaker",20
"absolute",20
"delivering",20
"puppet",20
"opposite",20
"sleepy",20
"incompetence",20
"scary",20
"cabinet",20
"deleted",20
"leaks",20
"stamina",20
"closing",20
"brother",20
"wanting",20
"sec",20
"trump”",20
"london",20
"modern",20
"boycott",20
"joined",20
"adam",20
"might",20
"benefit",20
"exclusively",20
"pushed",20
"endorse",20
"cares",20
"prosperity",20
"roger",20
"values",20
"receiving",20
"spring",20
"location",20
"difficult",20
"inaccurate",20
"welfare",20
"average",20
"critical",20
"biden",20
"innovation",20
"defeated",20
"taliban",20
"kentucky",20
"sen",20
"bosses",20
"apologized",20
"summer",20
"falling",20
"golden",20
"meetthepress",20
"audience",20
"explain",20
"trumpturnberry",20
"reilly",20
"baseball",20
"cadillac",20
"barbarajwalters",20
"dennisrodman",20
"contestants",20
"acres",20
"welch",20
"finale",20
"hagel",20
"tahmooressi",20
"nymag",20
"brett",19
"flgovscott",19
"checks",19
"allies",19
"departing",19
"kansas",19
"couple",19
"montana",19
"minnesota",19
"elect",19
"violence",19
"2008",19
"exactly",19
"jobless",19
"destruction",19
"charles",19
"tool",19
"quality",19
"00pm",19
"foxbusiness",19
"mainstream",19
"research",19
"die",19
"completely",19
"orders",19
"stands",19
"figure",19
"human",19
"liked",19
"tape",19
"damage",19
"shortly",19
"ron",19
"teams",19
"guilty",19
"discussed",19
"addition",19
"clearly",19
"learned",19
"losses",19
"lou",19
"break",19
"earlier",19
"missing",19
"cars",19
"half",19
"foolish",19
"fallen",19
"vice",19
"request",19
"stupidity",19
"thrilled",19
"returning",19
"quote",19
"broke",19
"patient",19
"guts",19
"cleveland",19
"legacy",19
"barbara",19
"shoot",19
"area",19
"dealing",19
"fund",19
"benjamin",19
"weekly",19
"victorious",19
"embarrassed",19
"blow",19
"style",19
"jeffrey",19
"awarded",19
"keynote",19
"lombardi",19
"restaurants",19
"bird",19
"macmiller",19
"“president",18
"protest",18
"orlando",18
"rallies",18
"slow",18
"markets",18
"talked",18
"fell",18
"supporting",18
"growing",18
"deep",18
"guard",18
"hispanic",18
"share",18
"finish",18
"conflicted",18
"danny",18
"visited",18
"loudobbs",18
"age",18
"unfairly",18
"books",18
"fiction",18
"commitment",18
"primaries",18
"additional",18
"currently",18
"couldn’t",18
"bloomberg",18
"firm",18
"bruce",18
"bretbaier",18
"aid",18
"brennan",18
"cup",18
"groups",18
"solutions",18
"surveillance",18
"target",18
"imagination",18
"refuse",18
"thugs",18
"transparency",18
"develop",18
"antitrump",18
"resign",18
"voice",18
"fought",18
"willing",18
"maryland",18
"comeback",18
"stamps",18
"fixed",18
"newspaper",18
"plant",18
"benefits",18
"directly",18
"efforts",18
"spends",18
"boy",18
"wounded",18
"begging",18
"laugh",18
"300",18
"mcconnell",18
"december",18
"rep",18
"mission",18
"embassy",18
"considered",18
"furious",18
"considering",18
"reelection",18
"square",18
"nypost",18
"morgan",18
"natural",18
"bay",18
"fakenews",18
"destination",18
"rev",18
"buildings",18
"rebels",18
"hacking",18
"van",18
"leverage",18
"clown",18
"sarasota",18
"citizen",18
"baltimore",18
"visiting",18
"screen",18
"manager",18
"copy",18
"attitude",18
"trumpwaikiki",18
"bret",18
"toronto",18
"scottish",18
"missusa",18
"fundanything",18
"ambassador",17
"anticipated",17
"launch",17
"nominee",17
"country’s",17
"actions",17
"closer",17
"add",17
"connecticut",17
"fraudulent",17
"des",17
"moines",17
"rush",17
"fairly",17
"various",17
