"date","tweet","client","year","hour","time","month"
"Sep 14 2018 06:31:06 AM","RT @SCEMD: 6 inches of moving water can knock an adult off their feet. STAY AWAY from moving water! #FloodSafety #Florence #HurricaneFloren…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:29:18 AM","RT @SCEMD: As #HurricaneFlorence begins to affect #SC, residents who were unable to evacuate should stay indoors during the #hurricane & aw…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:28:53 AM","RT @VDEM: For travel information call 5-1-1 or follow local VDOT social media accounts. To find out how Hurricane Florence impacts your are…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:28:33 AM","RT @NCDOT: We cannot share this enough: In case of flooding, MOVE TO HIGHER GROUND. And DO NOT DRIVE into standing or flooded water. If you…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:28:05 AM","RT @fema: Stay safe and shelter away from windows on the lowest floor that’s not subject to flooding. If you get trapped in a flooded build…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 13 2018 07:28:12 PM","RT @LouDobbs: #FakeNews- The Hurricane Maria death tolls have been inflated & President @realDonaldTrump was right to call out organization…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 13 2018 07:11:52 PM","RT @NWS: Important note as #Florence continues to close in on the Carolina coastline, storm surge is not just an ""ocean"" problem tonight. S…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 13 2018 07:11:31 PM","RT @DanScavino: Jamie Dimon loves President Trump. If he were to run in 2020, he’d have a ZERO percent chance. ¯\_(ツ)_/¯ https://t.co/R5d63…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 13 2018 08:41:44 AM","RT @fema: Storm surge is deadly. Anyone in an evacuation zone in the Carolinas and Virginia must leave NOW if they haven't yet. #Florence h…","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 13 2018 07:18:35 AM","RT @realDonaldTrump: “I can say, as it relates to the Senate Intelligence Committee Investigation, that we have NO hard evidence of Collusi…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 13 2018 07:17:24 AM","RT @realDonaldTrump: “President Trump would need a magic wand to get to 4% GDP,” stated President Obama. I guess I have a magic wand, 4.2%,…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 13 2018 07:16:19 AM","RT @realDonaldTrump: https://t.co/Vh47XjGzpt","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 13 2018 07:16:11 AM","RT @realDonaldTrump: “We have found nothing to show collusion between President Trump & Russia, absolutely zero, but every day we get more…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 11 2018 05:51:35 PM","RT @WhiteHouse: .@realDonaldTrump and @FLOTUS visited the Flight 93 National Memorial in Pennsylvania this morning to honor the memories of…","[Twitter for iPhone]",2018,5,"AM","09"
"Sep 10 2018 07:11:37 AM","RT @realDonaldTrump: The Woodward book is a scam. I don’t talk the way I am quoted. If I did I would not have been elected President. These…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 10 2018 07:10:41 AM","RT @realDonaldTrump: “Trump has set Economic Growth on fire. During his time in office, the economy has achieved feats most experts thought…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 10 2018 07:08:26 AM","RT @The_Trump_Train: @realDonaldTrump STAND FOR THE NATIONAL ANTHEM! https://t.co/oHk86YNi0v","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 10 2018 07:08:07 AM","RT @trueamerica1st: Thank you @realDonaldTrump https://t.co/fpFwNqw5id","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 10 2018 07:06:11 AM","RT @trueamerica1st: Thank god for Trump! https://t.co/bnPaMHW3tB","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 10 2018 07:06:02 AM","RT @trueamerica1st: Welcome to 2018 NFL https://t.co/K6YJEc1IXi","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 10 2018 07:05:57 AM","RT @trueamerica1st: https://t.co/po1LaCbWg1","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 9 2018 08:15:12 AM","RT @realDonaldTrump: So true! “Mr. Trump remains the single most popular figure in the Republican Party, whose fealty has helped buoy candi…","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 9 2018 08:13:54 AM","RT @DanScavino: https://t.co/VznqrCTR0C","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 9 2018 08:12:28 AM","RT @realDonaldTrump: Happy Anniversary! #ProudDeplorable https://t.co/iHyeu5a8DD","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 8 2018 08:54:14 PM","RT @thejtlewis: @realDonaldTrump President Trump will win in 2020 in an even BIGGER landslide than 2016! You are the greatest President EVE…","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 7 2018 08:22:56 PM","RT @ericbolling: Watching @BarackObama take credit for @realDonaldTrump successes is disgraceful. Score So Far- TRUMP: -Unemployment Rate…","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 7 2018 08:17:59 PM","RT @RichardGrenell: fact check: @realDonaldTrump kicked the Nazi out of NYC after 14 years and multiple Presidents allowed him to stay. htt…","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 7 2018 08:17:26 PM","RT @CalebJHull: “I complained plenty about Fox News, but I never threatened to shut them down.” It’s probably a good time to remind you th…","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 7 2018 08:03:45 PM","RT @Scavino45: .@larry_kudlow: “Job gains, wage growth show Trump's economic boom continues” https://t.co/raDjFB3zrW","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 3 2018 12:57:10 PM","RT @IvankaTrump: Today, on #LaborDay, let’s also recognize the amazing stay-at-home parents across America, who seldom receive the credit t…","[Twitter for iPhone]",2018,12,"PM","09"
"Sep 3 2018 12:50:59 PM","RT @WhiteHouse: In July, President Trump announced the Pledge to America's Workers. In little more than a month since, MILLIONS of new oppo…","[Twitter for iPhone]",2018,12,"PM","09"
"Sep 3 2018 06:05:53 AM","RT @CoreyStewartVA: In the U.S. Senate I'll be working WITH @realDonaldTrump on his #MAGA agenda -- and that includes having the backs of A…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 3 2018 06:05:37 AM","RT @CoreyStewartVA: About 200,000 #Virginia residents are federal workers; as I travel the state this #LaborDay weekend, Virginians are say…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 3 2018 06:01:44 AM","RT @SecPompeo: On behalf of the American people, special thank you to @Commander_RS GEN Nicholson for his 2+ years of service leading @NATO…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 2 2018 09:10:17 AM","RT @realDonaldTrump: .@Rasmussen_Poll just came out at 48% approval rate despite the constant and intense Fake News. Higher than Election D…","[Twitter for iPhone]",2018,9,"AM","09"
"Sep 1 2018 08:43:29 PM","RT @CoreyStewartVA: Federal workers endured 8 years of hell under Obama, with several rounds of pay freezes and benefit cuts. @realDonald…","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 1 2018 08:23:10 PM","RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 1 2018 08:23:02 PM","RT @realDonaldTrump: We shouldn’t have to buy our friends with bad Trade Deals and Free Military Protection!","[Twitter for iPhone]",2018,8,"AM","09"
"Aug 27 2018 05:07:45 PM","RT @FLOTUS: It was a pleasure having @FirstLadyKenya at the @WhiteHouse today. I enjoyed learning about @BeyondZeroKenya & discussing our…","[Twitter for iPhone]",2018,5,"AM","08"
"Aug 26 2018 09:25:47 AM","RT @realDonaldTrump: Social Media Giants are silencing millions of people. Can’t do this even if it means we must continue to hear Fake New…","[Twitter for iPhone]",2018,9,"AM","08"
"Aug 26 2018 09:24:17 AM","RT @realDonaldTrump: Big story out that the FBI ignored tens of thousands of Crooked Hillary Emails, many of which are REALLY BAD. Also gav…","[Twitter for iPhone]",2018,9,"AM","08"
"Aug 26 2018 08:21:44 AM","RT @realDonaldTrump: ....FISA abuse, Christopher Steele & his phony and corrupt Dossier, the Clinton Foundation, illegal surveillance of Tr…","[Twitter for iPhone]",2018,8,"AM","08"
"Aug 26 2018 08:21:41 AM","RT @realDonaldTrump: “Department of Justice will not be improperly influenced by political considerations.” Jeff, this is GREAT, what every…","[Twitter for iPhone]",2018,8,"AM","08"
"Aug 23 2018 11:09:55 PM","RT @DanScavino: “2020 odds: @realDonaldTrump favored more than every other challenger combined” via @SecretsBedard @dcexaminer https://t.co…","[Twitter for iPhone]",2018,11,"AM","08"
"Aug 22 2018 07:46:53 PM","RT @Scavino45: Today, President Trump welcomed the family of @usairforce Tech. Sgt. John A. Chapman, Medal of Honor recipient, to the Oval…","[Twitter for iPhone]",2018,7,"AM","08"
"Aug 15 2018 02:52:38 PM","RT @Rasmussen_Poll: Today’s @realDonaldTrump approval ratings among black voters: 36% This day last year: 19% https://t.co/mazBCWoIMy @…","[Twitter for iPhone]",2018,2,"AM","08"
"Aug 13 2018 12:14:40 PM","RT @FrankLuntz: I’m in @Omarosa’s book on page 149. She claims to have heard from someone who heard from me that I heard Trump use the N-wo…","[Twitter for iPad]",2018,12,"PM","08"
"Aug 13 2018 12:14:21 PM","RT @MichaelCohen212: LTo the many dozens of #journalists who called me, questioning @OMAROSA claim in her new book that @POTUS @realDonaldT…","[Twitter for iPad]",2018,12,"PM","08"
"Aug 7 2018 09:03:05 AM","RT @EricTrump: Ohio make sure to get out and vote today! We need Troy Balderson in Congress. Visit https://t.co/ypMnbPQzqk to find your pol…","[Twitter for iPhone]",2018,9,"AM","08"
"Aug 6 2018 04:44:00 PM","RT @realDonaldTrump: Presidential Approval numbers are very good - strong economy, military and just about everything else. Better numbers…","[Twitter for iPhone]",2018,4,"AM","08"
"Aug 5 2018 04:53:11 PM","RT @realDonaldTrump: ...Danny O’Connor is a total puppet for Nancy Pelosi and Maxine Waters – Danny wants to raise your taxes, open your bo…","[Twitter for iPhone]",2018,4,"AM","08"
"Aug 5 2018 04:52:57 PM","RT @realDonaldTrump: A great night in Ohio’s 12th Congressional District with Troy Balderson! Troy loves Ohio, and he loves the people of O…","[Twitter for iPhone]",2018,4,"AM","08"
"Aug 4 2018 03:54:49 PM","RT @realDonaldTrump: Troy Balderson, running for Congress from Ohio, is in a big Election fight with a candidate who just got caught lying…","[Twitter for iPhone]",2018,3,"AM","08"
"Aug 3 2018 10:30:30 PM","RT @seanhannity: https://t.co/RAVcGZwsiS","[Twitter for iPhone]",2018,10,"AM","08"
"Aug 3 2018 10:29:41 PM","RT @VinceMcMahon: Grateful for our special #MakeAWish guest at @WWE HQ. Thanks for visiting us, Tyler … and for making yourself comfortable…","[Twitter for iPhone]",2018,10,"AM","08"
"Aug 3 2018 10:24:48 PM","RT @WhiteHouse: “This is probably the most pro-active administration regarding urban America and the faith-based community in my lifetime.…","[Twitter for iPhone]",2018,10,"AM","08"
